                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6287,                 2.2117,                 1.2072,                 1.1236,                0.85483,                0.70956,                0.82795,                0.50369,                0.86499,                0.69168,                0.80611,                 0.4096,                 1.2907,                 1.7734,                0.84992,                 1.0125,              0.0033315,              0.0033315,              0.0033315
                      2,                 1.4513,                 1.7866,                0.93602,                 1.0441,                0.85152,                0.70736,                0.82164,                0.49362,                 0.8566,                 0.6921,                0.80264,                 0.4138,                 1.3448,                 1.8051,                0.86672,                 1.0383,              0.0065988,              0.0065988,              0.0065988
                      3,                 1.4656,                 1.7683,                0.94671,                  1.055,                0.87193,                 0.7245,                0.84994,                0.53699,                0.87288,                0.70919,                0.83102,                0.42756,                 1.2316,                 1.5958,                0.80793,                 1.0124,              0.0098002,              0.0098002,              0.0098002
                      4,                 1.3883,                 1.6633,                  0.887,                 1.0301,                 0.8799,                0.77104,                 0.8852,                0.59418,                 0.8791,                0.76392,                0.87463,                0.48299,                 1.1103,                 1.4434,                0.69915,                0.96727,               0.009703,               0.009703,               0.009703
                      5,                 1.3063,                  1.569,                0.83016,                 1.0066,                0.87675,                0.77927,                0.89581,                0.60855,                0.87831,                0.76447,                0.87895,                  0.484,                 1.0695,                 1.3815,                0.66915,                0.95437,               0.009604,               0.009604,               0.009604
                      6,                 1.2479,                 1.4941,                0.78928,                 0.9907,                0.87571,                 0.8032,                0.90894,                0.63653,                0.87971,                0.79927,                0.90286,                0.52967,                 1.0034,                 1.2901,                0.63351,                0.93615,               0.009505,               0.009505,               0.009505
                      7,                 1.2122,                   1.46,                0.76596,                 0.9805,                0.88055,                0.81221,                0.91584,                 0.6579,                0.88208,                0.80499,                0.90806,                0.54193,                0.94715,                 1.2098,                0.60798,                0.91928,               0.009406,               0.009406,               0.009406
                      8,                 1.1817,                 1.4097,                0.74214,                 0.9714,                 0.8829,                0.82494,                0.92159,                0.67005,                0.88703,                0.82248,                0.91744,                0.55806,                0.92834,                 1.1665,                0.57936,                0.91186,               0.009307,               0.009307,               0.009307
                      9,                 1.1549,                 1.3767,                0.72454,                0.96451,                0.88976,                0.82637,                0.92824,                0.68426,                0.89142,                0.81979,                0.91957,                0.55103,                0.89448,                 1.1385,                0.56336,                0.90584,               0.009208,               0.009208,               0.009208
                     10,                 1.1418,                 1.3602,                0.71355,                0.96158,                0.89173,                 0.8341,                0.93128,                0.69361,                0.89287,                0.83103,                0.92551,                 0.5661,                0.87237,                 1.1046,                0.54964,                0.89978,               0.009109,               0.009109,               0.009109
                     11,                 1.1244,                 1.3329,                0.69885,                0.95542,                0.89731,                0.83993,                0.93659,                0.70572,                0.89709,                0.83438,                0.92821,                0.56557,                0.84783,                 1.0707,                0.53317,                0.89254,                0.00901,                0.00901,                0.00901
                     12,                 1.1076,                  1.314,                0.68838,                 0.9518,                0.89541,                0.84392,                0.93895,                0.71153,                0.89885,                0.83287,                0.92836,                0.56498,                0.83637,                 1.0613,                0.52337,                0.88989,               0.008911,               0.008911,               0.008911
                     13,                 1.0953,                 1.2978,                0.67889,                0.94792,                0.89345,                0.84798,                 0.9395,                0.71356,                 0.8939,                0.84032,                 0.9301,                0.57005,                0.83204,                 1.0542,                0.51919,                0.88799,               0.008812,               0.008812,               0.008812
                     14,                 1.0866,                 1.2901,                0.67446,                0.94621,                0.89568,                 0.8481,                0.94091,                0.71637,                0.89704,                0.83732,                0.93033,                0.57118,                0.82624,                 1.0509,                 0.5152,                0.88611,               0.008713,               0.008713,               0.008713
                     15,                 1.0755,                 1.2743,                0.66728,                 0.9432,                0.89258,                0.85352,                0.94255,                0.71965,                 0.8978,                0.83838,                0.93151,                0.57255,                0.82118,                  1.045,                 0.5105,                 0.8845,               0.008614,               0.008614,               0.008614
                     16,                 1.0686,                 1.2628,                 0.6626,                0.94208,                0.89545,                 0.8538,                0.94363,                0.72226,                0.89837,                 0.8428,                0.93318,                0.57558,                0.81469,                 1.0337,                 0.5063,                0.88299,               0.008515,               0.008515,               0.008515
                     17,                  1.065,                  1.256,                0.65923,                0.94056,                 0.8947,                0.85664,                0.94486,                0.72569,                0.89704,                0.84548,                0.93417,                0.57696,                0.80748,                 1.0274,                0.50233,                0.88118,               0.008416,               0.008416,               0.008416
                     18,                 1.0533,                 1.2455,                0.65348,                  0.938,                 0.8964,                0.85787,                0.94606,                0.72755,                0.89722,                0.84695,                0.93509,                0.57761,                0.80271,                 1.0211,                0.49925,                0.87991,               0.008317,               0.008317,               0.008317
                     19,                 1.0485,                  1.239,                0.64896,                0.93738,                0.89667,                0.86025,                0.94674,                0.72968,                0.89916,                0.84805,                0.93604,                0.57887,                 0.7971,                 1.0133,                0.49615,                0.87853,               0.008218,               0.008218,               0.008218
